branch_id,branch_name,branch_code,demand_factor
100219110,Civil Engineering,CIVI,0.85
100224210,Computer Science and Engineering,COMP,0.85
100224610,Information Technology,INFO,0.85
100229310,Electrical Engineering,ELEC,0.85
100237210,Electronics and Telecommunication Engg,ELEC,0.85
100246610,Instrumentation Engineering,INST,0.85
100261210,Mechanical Engineering,MECH,0.85
100550310,Food Technology,FOOD,0.85
100551710,Oil and Paints Technology,OIL ,0.85
100552710,Petro Chemical Engineering,PETR,0.85
101219110,Civil Engineering,CIVI,0.85
101224510,Computer Engineering,COMP,0.85
101229310,Electrical Engineering,ELEC,0.85
101237210,Electronics and Telecommunication Engg,ELEC,0.85
101261210,Mechanical Engineering,MECH,0.85
110124210,Computer Science and Engineering,COMP,0.85
110124610,Information Technology,INFO,0.85
110135610,Electrical Engineering (Electronics and Power),ELEC,0.85
110135610,Electrical Engg[Electronics and Power],ELEC,0.85
110137210,Electronics and Telecommunication Engg,ELEC,0.85
110161210,Mechanical Engineering,MECH,0.85
110519110,Civil Engineering,CIVI,0.85
110524210,Computer Science and Engineering,COMP,0.85
110524610,Information Technology,INFO,0.85
110526310,Artificial Intelligence (AI) and Data Science,ARTI,0.85
110526710,Computer Science and Engineering (IoT),COMP,0.85
110537210,Electronics and Telecommunication Engg,ELEC,0.85
110561210,Mechanical Engineering,MECH,0.85
110719110,Civil Engineering,CIVI,0.85
110724210,Computer Science and Engineering,COMP,0.85
110729310,Electrical Engineering,ELEC,0.85
110737210,Electronics and Telecommunication Engg,ELEC,0.85
110761210,Mechanical Engineering,MECH,0.85
110791110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),COMP,0.85
110799510,Artificial Intelligence and Data Science,ARTI,0.85
111419110,Civil Engineering,CIVI,0.85
111424210,Computer Science and Engineering,COMP,0.85
111424610,Information Technology,INFO,0.85
111426310,Artificial Intelligence (AI) and Data Science,ARTI,0.85
111437210,Electronics and Telecommunication Engg,ELEC,0.85
111461210,Mechanical Engineering,MECH,0.85
111619110,Civil Engineering,CIVI,0.85
111624210,Computer Science and Engineering,COMP,0.85
111624610,Information Technology,INFO,0.85
111650710,Chemical Engineering,CHEM,0.85
111661210,Mechanical Engineering,MECH,0.85
111719110,Civil Engineering,CIVI,0.85
111724210,Computer Science and Engineering,COMP,0.85
111735610,Electrical Engg[Electronics and Power],ELEC,0.85
111735610,Electrical Engineering (Electronics and Power),ELEC,0.85
111799510,Artificial Intelligence and Data Science,ARTI,0.85
111924210,Computer Science and Engineering,COMP,0.85
111924610,Information Technology,INFO,0.85
111937210,Electronics and Telecommunication Engg,ELEC,0.85
111950710,Chemical Engineering,CHEM,0.85
111961210,Mechanical Engineering,MECH,0.85
111999510,Artificial Intelligence and Data Science,ARTI,0.85
112019110,Civil Engineering,CIVI,0.85
112024210,Computer Science and Engineering,COMP,0.85
112029310,Electrical Engineering,ELEC,0.85
112037210,Electronics and Telecommunication Engg,ELEC,0.85
112050710,Chemical Engineering,CHEM,0.85
112061210,Mechanical Engineering,MECH,0.85
112089310,Textile Engineering / Technology,TEXT,0.85
112124210,Computer Science and Engineering,COMP,0.85
112124610,Information Technology,INFO,0.85
112137210,Electronics and Telecommunication Engg,ELEC,0.85
