category_code,category_label
GOPENH,GOPENH
GSCNH,GSCNH
GSTNH,GSTNH
GVJS,GVJS
GNT1S,GNT1S
GNT2S,GNT2S
GNT3S,GNT3S
GOBCNH,GOBCNH
GSEBCS,GSEBCS
LOPENS,LOPENS
LSCS,LSCS
LSTS,LSTS
LVJS,LVJS
LNT2S,LNT2S
LOBCS,LOBCS
LSEBCS,LSEBCS
PWDOPENS,PWDOPENS
PWDOBCS,PWDOBCS
DEFOPENS,DEFOPENS
DEFOBCS,DEFOBCS
TFWS,TFWS
PWDRSCS,PWDRSCS
DEFROBCS,DEFROBCS
EWS,EWS
LNT1S,LNT1S
LNT3S,LNT3S
DEFRNT3S,DEFRNT3S
DEFSCS,DEFSCS
PWDRNT2S,PWDRNT2S
DEFRSCS,DEFRSCS
DEFRVJS,DEFRVJS
DEFSEBCS,DEFSEBCS
PWDRNT3S,PWDRNT3S
PWDRSTS,PWDRSTS
DEFRNT2S,DEFRNT2S
PWDROBCS,PWDROBCS
DEFRSEBCS,DEFRSEBCS
PWDSEBCS,PWDSEBCS
PWDRSEBCS,PWDRSEBCS
PWDSCS,PWDSCS
DEFRNT1S,DEFRNT1S
PWDRNT1S,PWDRNT1S
DEFRSTS,DEFRSTS
PWDRVJS,PWDRVJS
BCS,BCS
PWDSTS,PWDSTS
DEFSTS,DEFSTS
