college_id,college_name,district,college_type,nirf_rank_proxy
1002,"Government College of Engineering, Amravati",Maharashtra,Engineering,1
1005,"Sant Gadge Baba Amravati University,Amravati",Maharashtra,Engineering,2
1012,"Government College of Engineering,Yavatmal",Maharashtra,Engineering,3
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Maharashtra,Engineering,4
1105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Maharashtra,Engineering,5
1107,"P. R. Pote Patil College of Engineering & Management, Amravati",Maharashtra,Engineering,6
1114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Maharashtra,Engineering,7
1116,"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Maharashtra,Engineering,8
1117,"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Maharashtra,Engineering,9
1119,ANURADHA COLLEGE OF ENGINEERING & TECHNOLOGY,Maharashtra,Engineering,10
1120,"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Maharashtra,Engineering,11
1121,"Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati",Maharashtra,Engineering,12
1123,"Dr.Rajendra Gode Institute of Technology & Research, Amravati",Maharashtra,Engineering,13
1125,"Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshi Shahu College of Engineering, Buldhana",Maharashtra,Engineering,14
1126,"Takshashila Institute of Engineering & Technology, Darapur, Amravati",Maharashtra,Engineering,15
1127,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal",Maharashtra,Engineering,16
1128,"Prof Ram Meghe College of Engineering and Management, Badnera",Maharashtra,Engineering,17
1130,"Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon",Maharashtra,Engineering,18
1180,"Sanmati Engineering College, Sawargaon Barde, Washim",Maharashtra,Engineering,19
1182,"Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana",Maharashtra,Engineering,20
1265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Maharashtra,Engineering,21
1268,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile",Maharashtra,Engineering,22
1276,"Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302",Maharashtra,Engineering,23
2008,"Government College of Engineering, Chhatrapati Sambhajinagar",Maharashtra,Engineering,24
2015,"PURANMAL LAHOTI GOVERNMENT INSTITUTE OF ENGINEERING AND TECHNOLOGY, LATUR",Maharashtra,Engineering,25
2020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Maharashtra,Engineering,26
